"from","to","weight","year"
"USA","CAN",505.4,2017
"ESP","COL",46.14,2017
"USA","COL",218.79,2017
"CRI","IRL",91.737891,2017
"CRI","USA",868.386104,2017
"DEU","CZE",69.777362,2017
"DEU","CZE",69.777362,2017
"IRL","CZE",50.952128,2017
"DEU","FRA",87,2017
"DEU","FRA",87,2017
"NLD","DEU",53.1,2017
"NLD","DEU",53.1,2017
"DNK","NOR",60.421108,2017
"USA","DNK",106.187843,2017
"ESP","FRA",65.38105,2017
"IRL","ESP",162.325365,2017
"USA","ESP",66.508309,2017
"USA","FRA",208.543003,2017
"IRL","GBR",144.2,2017
"GBR","ITA",106.8,2017
"GBR","JPN",113.3,2017
"GBR","KOR",52.8,2017
"GBR","NLD",216.2,2017
"GBR","RUS",56.6,2017
"GBR","SWE",52.8,2017
"GBR","SGP",52.7,2017
"GBR","USA",1970.4,2017
"USA","ITA",204.033966,2017
"NLD","RUS",88.489869,2017
"NLD","SWE",45.090379,2017
"NLD","SGP",107.202377,2017
"ROU","USA",90.518936,2017
"USA","SWE",46.330364,2017
"USA","ZAF",56,2017
"AUT","GBR",60.189455,2018
"CAN","USA",97.1999999999999,2018
"ESP","COL",70.45,2018
"USA","COL",213.72,2018
"CRI","IRL",82.059831,2018
"CRI","NLD",104.192499,2018
"CRI","USA",772.676763,2018
"USA","CYP",106.216686,2018
"DEU","CZE",110.937427,2018
"DEU","CZE",110.937427,2018
"IRL","CZE",67.978679,2018
"DEU","ESP",62.6,2018
"DEU","ESP",62.6,2018
"IRL","DEU",164.1,2018
"IRL","DEU",164.1,2018
"DEU","ITA",121.7,2018
"DEU","ITA",121.7,2018
"NLD","DEU",125.2,2018
"NLD","DEU",125.2,2018
"DEU","RUS",55.5,2018
"DEU","RUS",55.5,2018
"USA","DEU",685,2018
"USA","DEU",685,2018
"DNK","NOR",69.040845,2018
"USA","DNK",157.672769,2018
"IRL","ESP",147.523174,2018
"USA","ESP",70.811124,2018
"USA","FRA",103.856315,2018
"IRL","GBR",312.2,2018
"GBR","ITA",132.1,2018
"GBR","JPN",249.5,2018
"GBR","NLD",229.5,2018
"GBR","SGP",72.1,2018
"GBR","USA",1519.6,2018
"USA","ITA",186.351274,2018
"SWE","NLD",261.88314,2018
"ROU","USA",99.135573,2018
"USA","SWE",66.444438,2018
"USA","ZAF",68,2018
"IRL","AUT",68.282431,2019
"CAN","USA",248.7,2019
"USA","COL",193.96,2019
"CRI","IRL",83.515085,2019
"CRI","NLD",120.691823,2019
"CRI","USA",830.858003,2019
"DEU","CZE",76.901688,2019
"DEU","CZE",76.901688,2019
"IRL","CZE",88.09553,2019
"DEU","ESP",70.5,2019
"DEU","ESP",70.5,2019
"DEU","FRA",94,2019
"DEU","FRA",94,2019
"GBR","DEU",164.6,2019
"GBR","DEU",164.6,2019
"DEU","ITA",97.4,2019
"DEU","ITA",97.4,2019
"LUX","DEU",101.9,2019
"LUX","DEU",101.9,2019
"NLD","DEU",109.7,2019
"NLD","DEU",109.7,2019
"DEU","USA",275.4,2019
